name,country,gstin,pan,state_code,state_name,currency,payment_terms,address_line1,address_line2,city,pincode,email,phone,notes,contacts
RAJKOT NAGARIK SAHAKARI BANK LTD,India,24AAAAR2912F1Z0,AAAAR2912F,24,Gujarat,INR,Net 30,"ARVINDBHAI MANIAR NAGRIK SEVALAY, HEAD OFFICE 150 FEET RING ROAD, NEAR RAIYA CIRCLE Rajkot, GUJARAT, 360005",,,,harshalpathak@rnsb.bank.in,9825452069,,"[{""name"":""Best Regards, Nikunj J. Bhalara"",""role"":""Senior Executive-Cyber Security Department"",""email"":""nikunjbhalara@rnsb.bank.in"",""phone"":""Contact no : (0281) 2236806 (Extn : 426)   Cell : 96879 - 53180  ""}]"
SAMPADA SAHAKARI BANK LTD,India,27AAAJS0094E1Z7,AAAJS0094E,27,Maharashtra,INR,Net 30,"C.T.S. NO. 717, FIRST FLOOR, D.I.C.BUILDING GANESH ROAD, BUDHWAR PETH Pune, MAHARASHTRA, 411002",,PUNE,411002,edp@sampadabank.com,9604889726,,[]
SARVODAYA COMMERCIAL CO-OPERATIVE BANK LTD,India,24AAAAS2666R1ZZ,AAAAS2666R,24,Gujarat,INR,Net 30,"P.O. No. 20, HEAD OFFICE SARVODAY BANK NEAR BHAMARIYA NALA, MEHSANA Mahesana, GUJARAT, 384002",,MAHESANA,384002,viral.mehta@scc.bank.in,8200236937,,[]
SBFC FINANCE LIMITED,India,27AAFCM3855R2ZO,AAFCM3855R,27,Maharashtra,INR,Net 30,"103, 1st Floor, C&B Square, Sangam Complex, Andheri Kurla Road, Village Chakala, Andheri (East), Mumbai  400059",,MUMBAI,40059,Shivaji Manwadkar,8830355258,,[]
SHRI CHHATRAPATI RAJARSHI SHAHU URBAN CO-OP BANK LTD,India,27ACWAS8119F1ZS,ACWAS8119F,27,Maharashtra,INR,Net 30,"1-6-1241, JANADHAR BHAVAN JALNA ROAD, BEED Beed, MAHARASHTRA, 431122",,,,,,,"[{""name"":""Mr. Arun K. Gavali"",""role"":""Asstt. Manager-IT "",""email"":""arun.gawli@shahu.bank.in"",""phone"":""Cell- 8275080678, PH- 02442-229772""},{""name"":""Pankaj S Deo"",""role"":""Asstt. General Manager-IT"",""email"":""pankaj.deo@shahu.bank.in"",""phone"":""Mobile:9422240610""}]"
SHRI SANMATI SAHAKARI BANK LIMITED,India,27AABAS0367A2ZW,AABAS0367A,27,Maharashtra,INR,Net 30,"7/111, JANATA CHOWK, LAXMI MARKET ICHALKARANJI, HATKANGALE Kolhapur, MAHARASHTRA, 416115",,Kolhapur,416115,it@sanmati.bank.in,"0230-2431333/34, 2431531/32",,[]
SHRI SANMATI SAHAKARI BANK LIMITED,India,27AABAS0367A2ZW,AABAS0367A,27,Maharashtra,INR,Net 30,"7/111, JANATA CHOWK, LAXMI MARKET ICHALKARANJI, HATKANGALE Kolhapur, MAHARASHTRA, 416115",,,,it@sanmati.bank.in,,,[]
THE AHMEDABAD MERCANTILE CO-OP. BANK LTD.,India,24AAAAT0518P2ZE,AAAAT0518P,24,Gujarat,INR,Net 30,"AMCO HOUSE Nr Stadium Circle, Navrangpura Ahmedabad, GUJARAT, 380009",,,,,,,"[{""name"":""RUPESH SHAH"",""role"":"""",""email"":""rupesh@amco.bank.in"",""phone"":""9377633977""},{""name"":""VISHAL SHAH"",""role"":"""",""email"":""vishal@amco.bank.in"",""phone"":""""}]"
THE COSMOS CO-OP BANK LTD,India,27AAAAT0742K1ZH,AAAAT0742K,27,Maharashtra,INR,Net 30,"PLOT NO. 06, ICE COLONY, COSMOS TOWER UNIVERSITY ROAD, SHIVAJINAGAR Pune, MAHARASHTRA, 411007",,,,vijay.magar@cosmosbank.in,Desk : +91 20 670 85483 | VOIP : 85483 ,,"[{""name"":""Rajendra Godbole"",""role"":""Chief Information Technology Officer"",""email"":""rajendra.godbole@cosmosbank.in"",""phone"":""Desk : +91 20 670 85522 /| Mobile : +91 9011070057""},{""name"":""Samrat Gaud"",""role"":""ACCOUNTS "",""email"":""samrat.gaud@cosmosbank.in"",""phone"":""Tel - +91-20-67085538,9623176109""},{""name"":""Vikas Devan"",""role"":"""",""email"":""vikas.devan@cosmosbank.in"",""phone"":""Office: (020)-67085551""}]"
THE GAYATRI CO-OPERATIVE URBAN BANK LIMITED,India,36AABAT1490M1Z6,AABAT1490M,36,Telangana,INR,Net 30,"1-5-171/A, First floor, Gayatri Towers-2 Karimnagar Road, Jagtial Jagtial, TELANGANA, 505327",,,,info@gayatri.bank.in,,,[]
THE HASTI CO-OPERATIVE BANK LIMITED,India,27AAAAT2798M3ZR,AAAAT2798M,27,Maharashtra,INR,Net 30,"PLOT NO 42 43, HASTI SAHAKAR DEEP STATION AREA, DONDAICHA Dhule, MAHARASHTRA, 425408",,,,helpdesk@hastibank.org,7447437807,,[]
THE KARAD URBAN CO-OP BANK LTD,India,27AAAAT3981A1ZN,AAAAT3981A,27,Maharashtra,INR,Net 30,"516/2, SHANIWAR PETH, HEAD OFFICE KARAD, KARAD Satara, MAHARASHTRA, 415110",,,,,,,"[{""name"":""Pritam Shah "",""role"":""Dy. General Manager & CISO"",""email"":""pritamshah604@karadurbanbank.com"",""phone"":""Mobile: +919689944751""}]"
THE NAWANAGAR CO OPERATIVE BANK LTD,India,24AAAAT2422Q1ZE,AAAAT2422Q,24,Gujarat,INR,Net 30,"1, OPP. PRANAMI SCHOOL, THE NAWANAGAR CO OPERATIVE BANK LTD HIRJI MISTRY ROAD, UDHYOGNAGAR Jamnagar, GUJARAT, 361004",,,,ho@nawanagarbank.co.in,,,"[{""name"":""Prasad Sathaye"",""role"":""AGM (IT)"",""email"":""prasad.sathaye@tncbl.bank.in"",""phone"":""Tel. No.: 0288-2563990 / 2573366, 98242 85816""}]"
THE VARACHHA CO OP BANK LTD,India,24AABAT4356N1Z6,AABAT4356N,24,Gujarat,INR,Net 30,"160-E FP No.118,85/2, THE VARACHHA COOPERATIVE BANK LIMITED OPPOSITE RUSHIKESH TOWNSHIP, Surat Surat, GUJARAT, 395013",,,,,,,"[{""name"":""  Paresh Kelawala  "",""role"":""Assistant General Manager – IT  "",""email"":""pdkelawala@varachha.bank.in"",""phone"":""97375 14000 | 97375 03000  ""},{""name"":""KALPESH RIBADIA"",""role"":""IT  Manager"",""email"":""kdribadiya@varachha.bank.in"",""phone"":""|Ph.    : 0261-6918002     |Cell    : 98798-25893 , 9106396001""}]"
THE VISHWESHWAR SAHAKARI BANK LTD.,India,27AAAAT0755G1ZL,AAAAT0755G,27,Maharashtra,INR,Net 30,"471/472, VISHWESHWAR BANK BUILDING CHATRAPATI SHIVAJI MARKET YARD, GULTEKADI Pune, MAHARASHTRA, 411037",,PUNE,411037,ithw@vishweshwarbank.com,,,"[{""name"":""Amrutkar Shashikant"",""role"":"""",""email"":""s.amrutkar@vishweshwarbank.com"",""phone"":""""},{""name"":""NAGAHARI ZADE "",""role"":"""",""email"":""n.zade@vishweshwarbank.com"",""phone"":""9922441451""}]"
VARDHAMAN (MAHILA) CO-OPERATIVE URBAN BANK LIMITED,India,36AABAT6711D2ZQ,AABAT6711D,36,Telangana,INR,Net 30,"8-2-351/N/1, 3RD FLOOR, NISHANT HOUSE BANJARA HILLS, HYDERABAD Hyderabad, TELANGANA, 500034","Secreteriate Colony, Rangareddi",Hyderabad,500034,ho@vardhamanbank.com,,,"[{""name"":""A V Ramana Rao"",""role"":""AGM"",""email"":""agm@vardhamanbank.com"",""phone"":""""},{""name"":""G Sudhakar"",""role"":"""",""email"":""it@vardhamanbank.com"",""phone"":""7702476677/Desk:040-46664777""}]"
WANA NAGARIK SAHAKARI BANK LIMITED,India,27AAAAW4334N1Z4,AAAAW4334N,27,Maharashtra,INR,Net 30,"KOCHAR COMPLEX RAM MANDIR WARD, HINGHANGHAT Wardha, MAHARASHTRA, 442301",,WARDHA,442301,headoffice@wanabank.in,,,"[{""name"":""Vasant N Kholgade"",""role"":""Chief Executive Officer"",""email"":""headoffice@wanabank.in"",""phone"":""8788940988""}]"
